AV2001|Wireless Headphones|79.99|Audio Video
AV2002|4K Smart TV 55 Inch|499.99|Audio Video
AV2003|Portable Bluetooth Speaker|39.99|Audio Video
AV2004|Noise Cancelling Earbuds|59.99|Audio Video
AV2005|HD Webcam 1080p|45.99|Audio Video
AV2006|Soundbar Home Theater|129.99|Audio Video
AV2007|Mini Projector 1080p|99.99|Audio Video
AV2008|Gaming Monitor 27 Inch|229.99|Audio Video
AV2009|Streaming Media Player|49.99|Audio Video
AV2010|Digital Camera 24MP|299.99|Audio Video

EL3001|Smartphone 128GB|699.99|Electronics
EL3002|Laptop 15 Inch i5|899.99|Electronics
EL3003|Tablet 10 Inch|249.99|Electronics
EL3004|Wireless Mouse|19.99|Electronics
EL3005|Mechanical Keyboard|59.99|Electronics
EL3006|External Hard Drive 1TB|79.99|Electronics
EL3007|USB-C Hub Adapter|29.99|Electronics
EL3008|Smartwatch Fitness Tracker|149.99|Electronics
EL3009|Portable Charger 20000mAh|39.99|Electronics
EL3010|Wireless Charging Pad|24.99|Electronics

HM4001|Air Fryer 5 Quart|89.99|Home Kitchen
HM4002|Coffee Maker 12 Cup|49.99|Home Kitchen
HM4003|Blender 700W|39.99|Home Kitchen
HM4004|Electric Kettle|29.99|Home Kitchen
HM4005|Microwave Oven 900W|119.99|Home Kitchen
HM4006|Toaster 2 Slice|24.99|Home Kitchen
HM4007|Rice Cooker 6 Cup|34.99|Home Kitchen
HM4008|Vacuum Cleaner Bagless|129.99|Home Kitchen
HM4009|LED Desk Lamp|19.99|Home Kitchen
HM4010|Ceiling Fan with Remote|149.99|Home Kitchen

SP5001|Treadmill Folding|499.99|Sports
SP5002|Dumbbell Set 50lb|79.99|Sports
SP5003|Yoga Mat Non-Slip|19.99|Sports
SP5004|Resistance Bands Set|14.99|Sports
SP5005|Basketball Official Size|29.99|Sports
SP5006|Soccer Ball Pro|24.99|Sports
SP5007|Camping Tent 4 Person|119.99|Sports
SP5008|Sleeping Bag Winter|59.99|Sports
SP5009|Mountain Bike Helmet|39.99|Sports
SP5010|Fitness Tracker Watch|59.99|Sports
